text,airline
julie andrews hands down,Virgin America
will flights be leaving dallas for la on february th,Virgin America
hi i m so excited about your lga dal deal but i ve been trying book since last week the page never loads thx,Virgin America
you know it need it on my spotify stat guiltypleasures,Virgin America
i m lady gaga she is amazing,Virgin America
carrie,Virgin America
new marketing song let us know what you think,Virgin America
julie andrews first but lady gaga wow d me last night carrie meh,Virgin America
i called a weeks ago about adding flights from to my elevate they still haven t shown up help,Virgin America
all are great but i have to go with carrieunderwood,Virgin America
sorry mary martin had it first,Virgin America
love all three but you really can t beat the classics,Virgin America
flight dal to dca pm tried to check in could not status please,Virgin America
heyyyy guyyyys been trying to get through for an hour can someone call me please,Virgin America
hi virgin i m on hold for minutes are there any earlier flights from la to nyc tonight earlier than pm,Virgin America
congrats on winning the award for best deals from an airline us,Virgin America
everything was fine until you lost my bag,Virgin America
need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online,Virgin America
i emailed your customer service team let me know if you need the tracking number,Virgin America
hi i just booked a flight but need to add baggage how can i do this,Virgin America
your airline is awesome but your lax loft needs to step up its game for dirty tables and floors,Virgin America
not worried it s been a great ride in a new plane with great crew all airlines should be like this,Virgin America
awesome i flew yall sat morning any way we can correct my bill,Virgin America
or watch some of the best student films in the country at feet cmfat feet,Virgin America
first time flying you all do you have a different rate policy for media bags thanks,Virgin America
what is going on with customer service is there anyway to speak to a human asap thank you,Virgin America
what happened to doom,Virgin America
why can t you supp the biz traveler like and have customer service like neverflyvirginforbusiness,Virgin America
i ve applied more then once to be a member of the inflight crew team im interested flightattendant dreampath g,Virgin America
you re the best whenever i begrudgingly use any other airline i m delayed and late flight,Virgin America
i have no interesting flying with you after this i will cancelled flight my next four flights i planned neverflyvirginforbusiness,Virgin America
it was a disappointing experience which will be shared with every business traveler i meet neverflyvirgin,Virgin America
i m having trouble adding this flight my wife booked to my elevate account help,Virgin America
can t bring up my reservation online using flight booking problems code,Virgin America
random q what s the distribution of elevate avatars i bet that kitty has a disproportionate share,Virgin America
i flying va but life happens and i am trying to change my trip jperhi can you help va home page will not let me,Virgin America
why is the site down when will it be back up,Virgin America
you down with rnp yeah you know me,Virgin America
hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account,Virgin America
i like the tv and interesting video just disappointed in cancelled flightled flight when other flights went out to jfk on saturday,Virgin America
just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly nomorevirgin,Virgin America
why is flight redirected,Virgin America
is it me or is your website down btw your new website isn t a great user experience time for another redesign,Virgin America
i can t check in or add a bag your website isn t working i ve tried both desktop and mobile,Virgin America
let scanned in passengers leave the plane than told someone to remove their bag from st class bin uncomfortable,Virgin America
what is your phone number i can t find who to call about a flight reservation,Virgin America
is anyone doing anything there today website is useless and no one is answering the phone,Virgin America
trying to add my boy prince to my ressie sf this thursday from lax,Virgin America
why must a traveler miss a flight to late flight check a bag i missed my morning appointments and you lost my business sfo lax,Virgin America
check out new music,Virgin America
how s a direct flight fll sfo have unexpected layover in vegas fuel yet peeps next to me bought for vegas flight sneaky,Virgin America
your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp,Virgin America
amazing customer service again raeann in sf she s the best customerservice virginamerica flying,Virgin America
called your service line and was hung up on this is awesome sarcasm,Virgin America
your site is tripping i m trying to check in and i m getting the plain text version i am reluctant to enter any card info,Virgin America
i was scheduled for sfo dal flight today changed to th due weather looks like flight still on,Virgin America
has getaway deals through may from one way lots of cool cities cheapflights farecompare,Virgin America
has getaway deals through may from one way lots of cool cities cheapflights farecompare,Virgin America
has getaway deals through may from one way lots of cool cities cheapflights farecompare,Virgin America
has getaway deals through may from one way lots of cool cities cheapflights farecompare,Virgin America
have a great week,Virgin America
come back to phl already we need you to take us out of this horrible cold pleasecomeback,Virgin America
should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop,Virgin America
is the best airline i have flown on easy to change your reservation helpful representatives a comfortable flying experience,Virgin America
and again another rep kicked butt naelah represents your team so beautifully thank you,Virgin America
your beautiful front end design is down right now but it was cool to still book my ticket b c all your back end was secure,Virgin America
love the team running gate e at las tonight waited for a delayed flight and they kept things entertaining,Virgin America
use another browser a brand with a reputation built on tech response doesn t have a cross browser compatible website,Virgin America
and now the flight flight booking problems site is totally down folks what is the problem,Virgin America
i like the customer service but a min delay just for connecting passengers seems too long va,Virgin America
thanks to your outstanding nyc jfk crew who moved mountains to get me home to san francisco tonight,Virgin America
you have the absolute best team and customer service ever every time i fly with you i m delighted thank you,Virgin America
do you provide complimentary upgrades to first class if there are available seats,Virgin America
i need to change my flight thats scheduled in hours and min wait time on phone im calling intern help,Virgin America
completely awesome experience last month bos las nonstop thanks for such an awesome flight and depart time vabeatsjblue,Virgin America
how can i watch the oscars on my jfk sfo flight,Virgin America
is flight cancelled flightled and what do i do if it is,Virgin America
you are failing your customers because your check in process does not link to tsa pre check,Virgin America
us too terrible airline just gave us a hotel hotline number and said sorry,Virgin America
has flight number from sfo to cabo san lucas arrived yet,Virgin America
your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline shame on you,Virgin America
another delayed flight likingyoulessandless,Virgin America
i need to register a service dog for a first class ticket from sfo dulles the phone queue is an hour or longer pls advise,Virgin America
you rock for making it so i can watch oscars on my flight redcarpet oscars oscars,Virgin America
dropped a track on you,Virgin America
always xoxo,Virgin America
why can t we book seats on your flights when we buy them or even during check in creates so much anxiety frustrated,Virgin America
you d think paying an extra bucks rt for luggage might afford you hiring an extra hand at lame,Virgin America
best customer service rep in the world irmafromdallas takes the cake,Virgin America
can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service,Virgin America
please provide status for flight i cant imagine it s on time as the web indicates dude to weather here and or dallas,Virgin America
you have amazing staff super helpful as i just ran the princesshalf they have spoiled me with comfort,Virgin America
i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face,Virgin America
question is it not possible to book a seat for an infant under it s not giving me the option but we want a seat for him,Virgin America
always have it together you re welcome rt you re so welcome,Virgin America
flight home to dc sunset globe in backtowinter back to work refreshed,Virgin America
i don t understand why you need a dm to give me an answer on if you have a damaged luggage policy,Virgin America
does that mean you don t have a policy for destroyed luggage,Virgin America
is there special assistance if i travel alone w kids and infant priority boarding,Virgin America
thank you for checking in tickets are purchased and customer is happy,Virgin America
is your website ever coming back online,Virgin America
is flight from love field to sfo definitely cancelled flightled for monday february,Virgin America
is flight out of lga to dfw on time,Virgin America
my drivers license is expired by a little over a month can i fly friday morning using my expired license,Virgin America
having problems flight booking problems on the web site keeps giving me an error and to contact by phone phone is minute wait,Virgin America
how do i reschedule my cancelled flightled flights online the change button is greyed out,Virgin America
i rang but there is a wait for minutes i can book the same ticket through a vendor fix your site,Virgin America
got a flight we were told for today checked my email and its for tomorrow this is unacceptable,Virgin America
our flight into lga was cancelled flighted we re stuck in dallas i called to reschedule told i could get a flight for today,Virgin America
why don t any of the pairings include red wine only white is offered redwineisbetter,Virgin America
is the website down,Virgin America
your site seems a little wonked right now may want to have a look tried on two browsers no css,Virgin America
i m disappointed that the agent at the designated silver status check in line airport closed to assist all pasengers,Virgin America
plans to include austin to its dallas route topnews arab emirates,Virgin America
is it normal to receive no reply from central baggage baggageissues smh,Virgin America
at logan airport and waiting to checkin for my am flight checkin desk not open why,Virgin America
to jump into the dallas austin market news,Virgin America
beats eps views takes on southwestair va luv investor s business daily,Virgin America
lister to my show my on monday,Virgin America
to begin dallas austin flights in april ketr,Virgin America
congrats you just got all my business from ewr to sfo lax fuck you fl sfo ewr was the clincher,Virgin America
i applied over weeks ago haven t heard back and i m flying this week disappointed,Virgin America
i d love to know what your policy is for damaged luggage,Virgin America
thank you for the follow,Virgin America
too many apologies you r the worse airlines don t even respond to your cudtomers,Virgin America
shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me,Virgin America
i dm you,Virgin America
can you please have flights in sjc i have no choice but to fly southwest to vegas,Virgin America
too bad you say it takes to days via your confirmation email when i inquired after weeks you claim to weeks,Virgin America
flight from bos las tomorrow was cancelled flightled no notification wait times are hour will you rebook on another airline,Virgin America
rt you ve met your match got status on another airline upgrade restr,Virgin America
only way to fly elevate gold,Virgin America
if only you guys had flights from cmh,Virgin America
a lot of apologies being thrown out to customers from what i can see very sad thanks for nothing worst airline ever,Virgin America
for all my flight stuff wrong and did nothing about it had worst flight ever,Virgin America
having an issue finding a missing item on a plane can you help me find which airport my plane headed to next,Virgin America
you will match my americanairlines status cool,Virgin America
you ve met your match got status on another airline upgrade es ar,Virgin America
trying to book a flight with you guys and your website won t let me about to lose my business,Virgin America
you suck,Virgin America
thanks,Virgin America
just dm d same issue persisting,Virgin America
because we never rec d cancelled flightlation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids,Virgin America
trying to book a flight your site is down,Virgin America
you have any flights flying into boston tomorrow i need to be home and you cancelled flightled my flight and didn t do anything,Virgin America
you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed expected better,Virgin America
i love your guy s song we re dancing to it for our high school dance revue,Virgin America
your website is down and i m trying to check in,Virgin America
done thank you for the quick response apparently faster than sitting on hold,Virgin America
nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me,Virgin America
cool picture of another virginamerica plane off our wing what a site,Virgin America
keep up the great work,Virgin America
my goodness your people field are amazing under pressure from texas beatstheothers in crisis please fly me to ny,Virgin America
thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now seriously,Virgin America
can you please get me to the new york area before monday afternoon,Virgin America
thanks so much for the awesome support you guys rock,Virgin America
seats in row don t recline should mention that on your website soreback,Virgin America
flight delayed hours in la due to mechanical problems handle like pros but you could have tossed us a free drink,Virgin America
why cancelled flight flights today no precipitation to be scared of,Virgin America
twitter team you guys killed it for rescheduling me asap thank you,Virgin America
you guys charged me to reschedule a flight that was then cancelled flighted and are now refusing to refund it what s the deal,Virgin America
can t access your website from safari on iphone seems to work on mac and ipad need iphone to add passbook,Virgin America
on ipad and iphone clicking the checkin link in the email i received at hrs before flight,Virgin America
your mobile site is broken shows header elevateuser numofpointsavailable number points won t let me checkin,Virgin America
i was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin,Virgin America
why cancelled flight flight vx one sec its delayed on my to airport the next its cancelled flightled gonna email or call me to reschedule,Virgin America
i did it but there was a problem in the link from the email for check in thanks,Virgin America
had to change to another airline to get to dc today why is able to land in dc but not you cost me ugh,Virgin America
i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one,Virgin America
when are you putting some great deals from pdx to las or from las to pdx show me your love,Virgin America
wish i can afford to fly with you next friday going back home love everything about your airline,Virgin America
how are you gonna have a deal from dallas to dc but no deal from dc to dallas sad,Virgin America
it s just a bug report guys,Virgin America
hold times at call center are a bit much,Virgin America
like,Virgin America
site down help,Virgin America
you have the best flight attendant ever,Virgin America
awesome rt watch nominated films at feet meetthefleet oscars,Virgin America
thanks so much,Virgin America
trying to reset my password email never arrives help,Virgin America
the only airline based in silicon valley disruption fcmostinnovative incubator s,Virgin America
very nicely done,Virgin America
i m looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink,Virgin America
what is the reason for the delay of the departure of vx from jfk this afternoon,Virgin America
is todays flight from palm springs ca to jfk in ny cancelled flightled,Virgin America
hahaha you guys are amazing i love you guys,Virgin America
sounds like fun,Virgin America
any updates on flight from jfk lax,Virgin America
spruce moose,Virgin America
the css on your site is a right now please fix site unusable,Virgin America
we re on flight vegas to boston today checked in online but our bag count didn t register can i fix that somehow,Virgin America
classiq luv virgin america greetingz,Virgin America
hi i m trying to do check in but the website is not working i tried different browsers and the problem continues,Virgin America
thanks for your great customer service today for helping me get all my travel sorted out,Virgin America
thanks guys sweet route over the rockies airplanemodewason,Virgin America
love the s music blasting at gate in boston while waiting for flight to sanfrancisco only if i could get an iced coffee,Virgin America
the passenger in d flt that assaulted me shouldn t have flown i trust he s banned crew filed report to,Virgin America
current bug on website shows select departure city when selecting destination city,Virgin America
luggage was severely dented missing wheel coming off baggage claim in san luggage agent miranda i think wasn t any help,Virgin America
thank you for the easy itinerary shift for impending weather quick painless free,Virgin America
if you d love to see more girls be inspired to become pilots rt our free woaw event march at abq,Virgin America
thanks good times there and back vodkatonics the entire flight sfo,Virgin America
beats expectations shares take off santa cruz sentinel,Virgin America
any plans to start flying direct from dal to las,Virgin America
big love gratitude mpower w werin oscars vipswagbags avalonhollywood,Virgin America
you re doing a great job adding little luxuries aesthetics that improve the air travel experience thank you keep it up,Virgin America
requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver member,Virgin America
grand budapest hotel oscarscountdown,Virgin America
this is what you missed next trip to the,Virgin America
wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience,Virgin America
there is something wrong with you website in safari iphone,Virgin America
thanks for gate checking my baggage on your full flight dfw lax and giving me early boarding too sweet,Virgin America
already checked in so the page expired x,Virgin America
boo for a not refunding a seat upgrade fee i did not want to buy in the first place,Virgin America
shares rise on q financial results usa today,Virgin America
adds pillows instead of lie flat seats in first class arms race,Virgin America
i see what you did there,Virgin America
way to take advantage of mayweatherpacquiao,Virgin America
you know i m flying virgin for the fight mayweatherpacquiao,Virgin America
your inflight team makes the experience amazing,Virgin America
cutest salt and pepper shaker ever just when i think you guys can t get any better you just do,Virgin America
moved my seat with no notice better seat is cabin select not behind the row i selected disappointed,Virgin America
shares up on q results,Virgin America
fav airline,Virgin America
we have a hot female pilot sweet dca to sfo,Virgin America
when are you guys going to start flying to paris you re welcome,Virgin America
what is your policy on flying after surgery i am still waiting for answer so i can tell me doctor,Virgin America
already contacted central baggage sent dm is charging me for the dress that was in the lost suitcase help,Virgin America
thank you,Virgin America
is there anything going on with the website i ve been getting a lot of errors past minutes,Virgin America
i think i left something on the plane yesterday who do i call ah,Virgin America
i need you to follow back in order to dm,Virgin America
need to start flying to,Virgin America
they told to check with the airline regulation first so that is why i contacted you,Virgin America
i have just checked in flight to sfo from lax been told as atlantic flying club gold i get no benefits,Virgin America
husband and i ordered three drinks via my screen and they never came awesome,Virgin America
soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence,Virgin America
what is your policy on flying after surgery,Virgin America
posts second consecutive full year net profit,Virgin America
funny story your website is broken you have missing javascript and stylesheets on the checkin process i dislike this,Virgin America
would love to do more for virgin just like i do for,Virgin America
results handily exceed forecasts,Virgin America
i applied for a position in and i was wondering if you guys received my application,Virgin America
achieves a second year of profitability despite revenue pressure aviation,Virgin America
gives positive outlook but sees increased competition,Virgin America
i m trying to check into my am ct flight tmm on the desktop website and it s not working some sort of caching bug sos,Virgin America
weather delays next few weeks jfk bos dca,Virgin America
check the website before you go to the airport,Virgin America
do you guys know your check in links from emails are broken,Virgin America
pilot says we expect a choppy landing in nyc due to some gusty winds w a temperature of about degrees w the windchill,Virgin America
loved it can t wait for monday s return flight mostly just to watch the inflight safety video again sorrynotsorry,Virgin America
lost my luggage days ago on flight vx from lax to iad i m calling every day no response please give me back my stuff,Virgin America
the flight booking problems section of your website seems to be broken on chrome might wanna look into that,Virgin America
hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more,Virgin America
i mean probably inappropriate while on board but it s on,Virgin America
happy to spend the day together let s do this,Virgin America
is saving my sanity right now,Virgin America
missed my flight how does standby work,Virgin America
they were very understanding and helped me out thx comps,Virgin America
brought it all the way across the country today i see,Virgin America
thank you i absolutely will,Virgin America
looks like a broken link for your assets,Virgin America
are you ready let s say it together noooo turbulence today,Virgin America
the manage itinerary section of your website seems to be broken for me,Virgin America
can t check in your site looks like this every time it loads,Virgin America
can u help this fund needs urgent treatment in y old battling cancer could u help with flights freyasfund,Virgin America
may start service to hawaii from sanfrancisco this year biztravel,Virgin America
other carriers are less than half price for a round trip fare i am stunned,Virgin America
wtf is happening in pdx late flight march such that one way from sfo is,Virgin America
add dtw and i m sold,Virgin America
how about some free drinks on the flight back for the free promo,Virgin America
thanks,Virgin America
momma i made it,Virgin America
please contact me about portfolio left on flight vx from jfk to sfo tonite seat am need it returned call,Virgin America
help i was on flight from jkf tonight seat c left portfolio need it back,Virgin America
seattle bound wifey got me the duffle for vday she s a keeper holla,Virgin America
my luggage is gone i ve filed my paperwork promised a call email still no resolution or response from central luggage,Virgin America
debbie baldwin gave a rockstar performance of the safety demo this evening on vx las sfo bestcrew sherocks,Virgin America
thanks,Virgin America
thanks for taking care of on her flight rockstars travel,Virgin America
thanks for the lovely soft views travel san to sfo,Virgin America
i requested a mileage challenge for status several weeks ago online but haven t heard back how do i get help with this,Virgin America
just trying to book tickets to nyc and facing super fun broken styling don t worry i ll keep trying,Virgin America
many thanks for the follow ourprincess freyasfund usa bandie looking for any help,Virgin America
nice lofty view silverstatus,Virgin America
applied for status match on feb got confirmation email same day still no news though you guys have dropped ball late flightly,Virgin America
is my new go to airline,Virgin America
can you help ourprincess in need of some help in usa,Virgin America
i adore you and am so looking forward to my flight to austin in two weeks,Virgin America
i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience,Virgin America
flight booking problems flight to uphold my status match do taxes on ticket count as earned status points statusmatch virginamerica,Virgin America
trying to check in but looks like your site is down,Virgin America
spending my birthday night with you dal dca get me home,Virgin America
sent a couple messages to the email you provided but to no avail will try again next year cheers,Virgin America
first time flying virgin went to sanfrancisco thanks for the smooth ride easily my new fav airline,Virgin America
seriously though will there not be direct flights from sfo fll in may,Virgin America
it s fine already done with my purchase but you should try it just go most of the way through then go back,Virgin America
not really the experience i was hoping i ws forced check in a small carry on w nothing but empty cabin space on board,Virgin America
wjere is our luggage so slow at lax,Virgin America
to jump into the dallas austin market,Virgin America
i spoke with a representative that offered no solution i am a loyal customer who flies on as well,Virgin America
i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email,Virgin America
what happened to direct flights from sfo fll looking in may only see connecting help dontdothistome,Virgin America
can you help left my blazer in kooples jacket bag at rd row second seat from right gate t lax flight to sfo,Virgin America
partners with checkout as mobile payment method to help boost mobile conversion rates etailwest payments visa,Virgin America
just promoting the product is all had a problem with southwest and recommend noneother than the best,Virgin America
love you guys but pls get some direct routes las to aus,Virgin America
i would like help with some flights please,Virgin America
bruh turn down for what vxsafetydance,Virgin America
of course i work for and i m obsessed with the entire virgin family,Virgin America
ok first time flying with you tonight,Virgin America
digging the swanky pink mood lighting during the flight from nyc to sfo just needs a cabaret singer think about it,Virgin America
done but i need the receipt asap could you please help,Virgin America
i have d and d embossed badges and patches superior to the ones you are currently using,Virgin America
on vx from jfk to la dirty plane not up to your standards,Virgin America
on flight vx headed to la from jfk dirtiest va plane i have ever been on sad for a great airline,Virgin America
got it squared away someone picked up as soon as i tweeted should have tweeted sooner,Virgin America
your avis rental continue button doesn t work on your website to book car tried times on phone this sucks,Virgin America
delayed to,Virgin America
currently in minute of being on hold with cust service do i need to do anything to add a lap child to my reservation,Virgin America
adds pillows instead of lie flat seats in first class arms race by,Virgin America
of course have fun celebrating thanks happy chinese new year,Virgin America
flight booking problems last second flight for next week from sfo to san any chance you want to gift me a promo code since i love you guys,Virgin America
comenity bank is a joke please change nothing but constant problems with this bank,Virgin America
i just did how can i dm do u have to also add me,Virgin America
for my grandma ella s th she would a bday greeting from your flight crew she was a stewardess for eastern airlines,Virgin America
just bought tix for atx dallas route thanks for adding that love yr airline yr website is best transactional site ever,Virgin America
anytime sugafly,Virgin America
gave a credit for my late flight flight yesterday great service that s a wow moment unexpected gesture,Virgin America
i need a receipt for a flight change can you send one,Virgin America
i submitted a status match request a while back and still haven t heard i m flying on monday can you look accelerate,Virgin America
had me at their safety video loved my first cross country flight livewelltraveled sytycd,Virgin America
that doesn t look to fat to me it looks yummy,Virgin America
ceo says southwest jetblue have strayed from low cost model,Virgin America
a brilliant brisk am in boston in cue for vx,Virgin America
atlantic ploughs a lone furrow in the middleeast,Virgin America
atlantic ploughs a lone furrow in the middleeast,Virgin America
atlantic ploughs a lone furrow in the middleeast,Virgin America
omg omg nonstop dallas to austin on virgin,Virgin America
your planes are really pretty just thought u should know that,Virgin America
when are you flying to hawaii,Virgin America
i m pulling my hair out trying to book a flight with u your site doesn t work on iphone or ipad don t have a computer help,Virgin America
thank you,Virgin America
can i get some help with a support ticket it s been days incident thank you,Virgin America
good to be home texas moodlighting,Virgin America
i cannot even open my laptop in seat c and i paid a premium for this let me out of here,Virgin America
i am in seat c and i cannot even open my laptop and i paid extra for this seat,Virgin America
if only you guys were starting those flights at the end of the month guess i m still road tripping on feb,Virgin America
thanks for that been needing a way to make those austin trips from dca and now you ve come through,Virgin America
announced new route to austin w fares from way,Virgin America
really sprint i thought you guys were kewl,Virgin America
this is too cool never been on ur planes but now i will,Virgin America
you should have dollar lax las fares,Virgin America
great well deserved,Virgin America
fyi the info com email address you say to contact in password reset emails doesn t exist emails bounce,Virgin America
status match weeks have gone by and no news flt next week hope flt will count towards requirement cust svc no help,Virgin America
your website sucks donkey dicks just thought you should know all best,Virgin America
you should still develop an app then you will be my favorite airline,Virgin America
all crap channels which is why i pay to watch uk tv,Virgin America
got it all set thanks,Virgin America
no a s channel this year,Virgin America
only thing i see on passbook is virgin mobile mexico how do i integrate,Virgin America
giants and virgin america a match made in heaven,Virgin America
thank goodness also see you friday nwk sf boom,Virgin America
how come you don t have an iphone app still using and making me waste paper,Virgin America
your back of seat entertainment system does not accept credit cards that have an apostrophe in the surname apostrophefail,Virgin America
when will vx use all lga slots instead of today adding aus makes this less likely,Virgin America
is helping me step up my game tindertips tinderchamp,Virgin America
i luv ur people and product thing is y do u charge for herbal tea but not black tea i m not a caffeine drinker,Virgin America
thank you see y all soon i m excited to see the expansion of destinations spread those wings,Virgin America
announces new nonstop connecting intro,Virgin America
adds austin dallas love field route,Virgin America
sad to learn you no longer fly sfo phl hope it returns,Virgin America
can you tweet me the cancelled flight chng fee for a flight or can i rebook under one of your affiliates if so who are afiliates,Virgin America
has the most incredible customer service i ve ever experienced so refreshing,Virgin America
now when will we see virginamerica come to philadelphia phl,Virgin America
am i dreaming did you really just open up a route between dallas and austin and does this mean houston might be next,Virgin America
omg finally,Virgin America
to start xweekly a flights from to dallas austin on apr avgeek,Virgin America
nice to see you expanding in texas but don t forget about us here in sandiego i would love to see more flights out of here,Virgin America
kinda sucked my earphone jack didn t work on my flight they may want to look into that for future passengers,Virgin America
very poor experience first computer problem now seat malfunction stuck missing meeting in san diego,Virgin America
to battle on route via,Virgin America
thankyou the dal aus route makes my day,Virgin America
awesome deals dal aus for only each way,Virgin America
i miss the nerdbird in san jose,Virgin America
love it taking on in their backyard consumers win when biz competes,Virgin America
is flying from love to austin now that is most excellent news,Virgin America
can we make every vx plane with nerdbird why should austin be the only one getting nerd love,Virgin America
please add more frequency to pdx portland,Virgin America
congrats vx on the new route,Virgin America
i tried that you offered to charge me an additional k for a new ticket or be stranded until thurs st time last time,Virgin America
can u help with flights to get a y old battling cancer who needs treatment in fund,Virgin America
never had a bad experience before but this one took the cake now extortion for carry on items as well,Virgin America
had to spend hours worrying that items in carryon would be broken stolen since i couldn t carry them on plane or lock bag,Virgin America
all of group e was told there was no more room in the bins when i got on the plane was room for at least bags in my row,Virgin America
thanks for making my flight from lax to jfk a nightmare by forcing me to check my carry on bag at the gate,Virgin America
i have lots of flights to book and your site it not working i ve been on the phone waiting for over minutes,Virgin America
i am all about the in flight artisanal cheese and wine pairing,Virgin America
does virgin america fly direct from seattle to nyc or boston,Virgin America
that s classy,Virgin America
i m sure a lot of your and jfk lhr flights go a lot faster than mph with a strong tailwind,Virgin America
now it s just t minus minutes until my elevate a silver upgrade window opens freeneversucks,Virgin America
save some for tomorrow am,Virgin America
why is it taking years to fly home to dallas get your shit together,Virgin America
club virgin is bumping in new york,Virgin America
would have been a rough trip but luckily we were on a virginamerica flight weather,Virgin America
is that thestarter,Virgin America
please come to minneapolis st paul,Virgin America
yes fyi my bff,Virgin America
another perfect flight how come on your planes the sun visors can stay down other carriers make you raise them,Virgin America
nice rt the man of steel might be faster but we have wifi just saying sciencebehindtheexperience,Virgin America
i love the dancing little richard cool beans,Virgin America
i don t use passbook i still love you though i ll just use my email in the future,Virgin America
thanks for the free birthday points y all are all right with me,Virgin America
do you have an application for ios was looking and only saw virgin mexico,Virgin America
man of steel flies to more cities though and with more frequency too,Virgin America
thanks so much for sharing just added it to my site,Virgin America
good point,Virgin America
i heard he has a virgin mobile hotspot,Virgin America
you got cheese plate flights too,Virgin America
on all your flights,Virgin America
dad on segway is the best part of this whole infographic,Virgin America
are there any plans for a short haul airline in europe would defiantly fly with you guys,Virgin America
wifi and better seating,Virgin America
how come abc is the only one of the network channels you don t have,Virgin America
started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me,Virgin America
not only was it great but you return my calls the day after couldn t ask for more myvxexperience,Virgin America
