,text,airline
76,or watch some of the best student films in the country at feet cmfat feet,Virgin America
77,first time flying you all do you have a different rate policy for media bags thanks,Virgin America
78,what is going on with customer service is there anyway to speak to a human asap thank you,Virgin America
79,what happened to doom,Virgin America
80,why can t you supp the biz traveler like and have customer service like neverflyvirginforbusiness,Virgin America
81,i ve applied more then once to be a member of the inflight crew team im interested flightattendant dreampath g,Virgin America
82,you re the best whenever i begrudgingly use any other airline i m delayed and late flight,Virgin America
83,i have no interesting flying with you after this i will cancelled flight my next four flights i planned neverflyvirginforbusiness,Virgin America
84,it was a disappointing experience which will be shared with every business traveler i meet neverflyvirgin,Virgin America
85,i m having trouble adding this flight my wife booked to my elevate account help,Virgin America
86,can t bring up my reservation online using flight booking problems code,Virgin America
87,random q what s the distribution of elevate avatars i bet that kitty has a disproportionate share,Virgin America
88,i flying va but life happens and i am trying to change my trip jperhi can you help va home page will not let me,Virgin America
89,why is the site down when will it be back up,Virgin America
90,you down with rnp yeah you know me,Virgin America
91,hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account,Virgin America
92,i like the tv and interesting video just disappointed in cancelled flightled flight when other flights went out to jfk on saturday,Virgin America
93,just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly nomorevirgin,Virgin America
94,why is flight redirected,Virgin America
95,is it me or is your website down btw your new website isn t a great user experience time for another redesign,Virgin America
96,i can t check in or add a bag your website isn t working i ve tried both desktop and mobile,Virgin America
97,let scanned in passengers leave the plane than told someone to remove their bag from st class bin uncomfortable,Virgin America
98,what is your phone number i can t find who to call about a flight reservation,Virgin America
99,is anyone doing anything there today website is useless and no one is answering the phone,Virgin America
100,trying to add my boy prince to my ressie sf this thursday from lax,Virgin America
101,why must a traveler miss a flight to late flight check a bag i missed my morning appointments and you lost my business sfo lax,Virgin America
102,check out new music,Virgin America
103,how s a direct flight fll sfo have unexpected layover in vegas fuel yet peeps next to me bought for vegas flight sneaky,Virgin America
104,your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp,Virgin America
105,amazing customer service again raeann in sf she s the best customerservice virginamerica flying,Virgin America
106,called your service line and was hung up on this is awesome sarcasm,Virgin America
107,your site is tripping i m trying to check in and i m getting the plain text version i am reluctant to enter any card info,Virgin America
108,i was scheduled for sfo dal flight today changed to th due weather looks like flight still on,Virgin America
109,has getaway deals through may from one way lots of cool cities cheapflights farecompare,Virgin America
110,has getaway deals through may from one way lots of cool cities cheapflights farecompare,Virgin America
111,has getaway deals through may from one way lots of cool cities cheapflights farecompare,Virgin America
112,has getaway deals through may from one way lots of cool cities cheapflights farecompare,Virgin America
113,have a great week,Virgin America
114,come back to phl already we need you to take us out of this horrible cold pleasecomeback,Virgin America
115,should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop,Virgin America
116,is the best airline i have flown on easy to change your reservation helpful representatives a comfortable flying experience,Virgin America
117,and again another rep kicked butt naelah represents your team so beautifully thank you,Virgin America
118,your beautiful front end design is down right now but it was cool to still book my ticket b c all your back end was secure,Virgin America
119,love the team running gate e at las tonight waited for a delayed flight and they kept things entertaining,Virgin America
120,use another browser a brand with a reputation built on tech response doesn t have a cross browser compatible website,Virgin America
121,and now the flight flight booking problems site is totally down folks what is the problem,Virgin America
122,i like the customer service but a min delay just for connecting passengers seems too long va,Virgin America
123,thanks to your outstanding nyc jfk crew who moved mountains to get me home to san francisco tonight,Virgin America
124,you have the absolute best team and customer service ever every time i fly with you i m delighted thank you,Virgin America
125,do you provide complimentary upgrades to first class if there are available seats,Virgin America
126,i need to change my flight thats scheduled in hours and min wait time on phone im calling intern help,Virgin America
127,completely awesome experience last month bos las nonstop thanks for such an awesome flight and depart time vabeatsjblue,Virgin America
128,how can i watch the oscars on my jfk sfo flight,Virgin America
129,is flight cancelled flightled and what do i do if it is,Virgin America
130,you are failing your customers because your check in process does not link to tsa pre check,Virgin America
131,us too terrible airline just gave us a hotel hotline number and said sorry,Virgin America
132,has flight number from sfo to cabo san lucas arrived yet,Virgin America
133,your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline shame on you,Virgin America
134,another delayed flight likingyoulessandless,Virgin America
135,i need to register a service dog for a first class ticket from sfo dulles the phone queue is an hour or longer pls advise,Virgin America
136,you rock for making it so i can watch oscars on my flight redcarpet oscars oscars,Virgin America
137,dropped a track on you,Virgin America
138,always xoxo,Virgin America
139,why can t we book seats on your flights when we buy them or even during check in creates so much anxiety frustrated,Virgin America
140,you d think paying an extra bucks rt for luggage might afford you hiring an extra hand at lame,Virgin America
141,best customer service rep in the world irmafromdallas takes the cake,Virgin America
142,can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service,Virgin America
143,please provide status for flight i cant imagine it s on time as the web indicates dude to weather here and or dallas,Virgin America
144,you have amazing staff super helpful as i just ran the princesshalf they have spoiled me with comfort,Virgin America
145,i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face,Virgin America
146,question is it not possible to book a seat for an infant under it s not giving me the option but we want a seat for him,Virgin America
147,always have it together you re welcome rt you re so welcome,Virgin America
148,flight home to dc sunset globe in backtowinter back to work refreshed,Virgin America
149,i don t understand why you need a dm to give me an answer on if you have a damaged luggage policy,Virgin America
150,does that mean you don t have a policy for destroyed luggage,Virgin America
151,is there special assistance if i travel alone w kids and infant priority boarding,Virgin America
152,thank you for checking in tickets are purchased and customer is happy,Virgin America
153,is your website ever coming back online,Virgin America
154,is flight from love field to sfo definitely cancelled flightled for monday february,Virgin America
155,is flight out of lga to dfw on time,Virgin America
156,my drivers license is expired by a little over a month can i fly friday morning using my expired license,Virgin America
157,having problems flight booking problems on the web site keeps giving me an error and to contact by phone phone is minute wait,Virgin America
158,how do i reschedule my cancelled flightled flights online the change button is greyed out,Virgin America
159,i rang but there is a wait for minutes i can book the same ticket through a vendor fix your site,Virgin America
160,got a flight we were told for today checked my email and its for tomorrow this is unacceptable,Virgin America
161,our flight into lga was cancelled flighted we re stuck in dallas i called to reschedule told i could get a flight for today,Virgin America
162,why don t any of the pairings include red wine only white is offered redwineisbetter,Virgin America
163,is the website down,Virgin America
164,your site seems a little wonked right now may want to have a look tried on two browsers no css,Virgin America
165,i m disappointed that the agent at the designated silver status check in line airport closed to assist all pasengers,Virgin America
166,plans to include austin to its dallas route topnews arab emirates,Virgin America
167,is it normal to receive no reply from central baggage baggageissues smh,Virgin America
168,at logan airport and waiting to checkin for my am flight checkin desk not open why,Virgin America
169,to jump into the dallas austin market news,Virgin America
170,beats eps views takes on southwestair va luv investor s business daily,Virgin America
171,lister to my show my on monday,Virgin America
172,to begin dallas austin flights in april ketr,Virgin America
173,congrats you just got all my business from ewr to sfo lax fuck you fl sfo ewr was the clincher,Virgin America
174,i applied over weeks ago haven t heard back and i m flying this week disappointed,Virgin America
175,i d love to know what your policy is for damaged luggage,Virgin America
176,thank you for the follow,Virgin America
177,too many apologies you r the worse airlines don t even respond to your cudtomers,Virgin America
178,shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me,Virgin America
179,i dm you,Virgin America
180,can you please have flights in sjc i have no choice but to fly southwest to vegas,Virgin America
181,too bad you say it takes to days via your confirmation email when i inquired after weeks you claim to weeks,Virgin America
182,flight from bos las tomorrow was cancelled flightled no notification wait times are hour will you rebook on another airline,Virgin America
183,rt you ve met your match got status on another airline upgrade restr,Virgin America
184,only way to fly elevate gold,Virgin America
185,if only you guys had flights from cmh,Virgin America
186,a lot of apologies being thrown out to customers from what i can see very sad thanks for nothing worst airline ever,Virgin America
187,for all my flight stuff wrong and did nothing about it had worst flight ever,Virgin America
188,having an issue finding a missing item on a plane can you help me find which airport my plane headed to next,Virgin America
189,you will match my americanairlines status cool,Virgin America
190,you ve met your match got status on another airline upgrade es ar,Virgin America
191,trying to book a flight with you guys and your website won t let me about to lose my business,Virgin America
192,you suck,Virgin America
193,thanks,Virgin America
194,just dm d same issue persisting,Virgin America
195,because we never rec d cancelled flightlation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids,Virgin America
196,trying to book a flight your site is down,Virgin America
197,you have any flights flying into boston tomorrow i need to be home and you cancelled flightled my flight and didn t do anything,Virgin America
198,you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed expected better,Virgin America
199,i love your guy s song we re dancing to it for our high school dance revue,Virgin America
200,your website is down and i m trying to check in,Virgin America
201,done thank you for the quick response apparently faster than sitting on hold,Virgin America
202,nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me,Virgin America
203,cool picture of another virginamerica plane off our wing what a site,Virgin America
204,keep up the great work,Virgin America
205,my goodness your people field are amazing under pressure from texas beatstheothers in crisis please fly me to ny,Virgin America
206,thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now seriously,Virgin America
207,can you please get me to the new york area before monday afternoon,Virgin America
208,thanks so much for the awesome support you guys rock,Virgin America
209,seats in row don t recline should mention that on your website soreback,Virgin America
210,flight delayed hours in la due to mechanical problems handle like pros but you could have tossed us a free drink,Virgin America
211,why cancelled flight flights today no precipitation to be scared of,Virgin America
212,twitter team you guys killed it for rescheduling me asap thank you,Virgin America
213,you guys charged me to reschedule a flight that was then cancelled flighted and are now refusing to refund it what s the deal,Virgin America
214,can t access your website from safari on iphone seems to work on mac and ipad need iphone to add passbook,Virgin America
215,on ipad and iphone clicking the checkin link in the email i received at hrs before flight,Virgin America
216,your mobile site is broken shows header elevateuser numofpointsavailable number points won t let me checkin,Virgin America
217,i was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin,Virgin America
218,why cancelled flight flight vx one sec its delayed on my to airport the next its cancelled flightled gonna email or call me to reschedule,Virgin America
219,i did it but there was a problem in the link from the email for check in thanks,Virgin America
220,had to change to another airline to get to dc today why is able to land in dc but not you cost me ugh,Virgin America
221,i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one,Virgin America
222,when are you putting some great deals from pdx to las or from las to pdx show me your love,Virgin America
223,wish i can afford to fly with you next friday going back home love everything about your airline,Virgin America
224,how are you gonna have a deal from dallas to dc but no deal from dc to dallas sad,Virgin America
225,it s just a bug report guys,Virgin America
226,hold times at call center are a bit much,Virgin America
227,like,Virgin America
228,site down help,Virgin America
229,you have the best flight attendant ever,Virgin America
230,awesome rt watch nominated films at feet meetthefleet oscars,Virgin America
231,thanks so much,Virgin America
232,trying to reset my password email never arrives help,Virgin America
233,the only airline based in silicon valley disruption fcmostinnovative incubator s,Virgin America
234,very nicely done,Virgin America
235,i m looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink,Virgin America
236,what is the reason for the delay of the departure of vx from jfk this afternoon,Virgin America
237,is todays flight from palm springs ca to jfk in ny cancelled flightled,Virgin America
238,hahaha you guys are amazing i love you guys,Virgin America
239,sounds like fun,Virgin America
240,any updates on flight from jfk lax,Virgin America
241,spruce moose,Virgin America
242,the css on your site is a right now please fix site unusable,Virgin America
243,we re on flight vegas to boston today checked in online but our bag count didn t register can i fix that somehow,Virgin America
244,classiq luv virgin america greetingz,Virgin America
245,hi i m trying to do check in but the website is not working i tried different browsers and the problem continues,Virgin America
246,thanks for your great customer service today for helping me get all my travel sorted out,Virgin America
247,thanks guys sweet route over the rockies airplanemodewason,Virgin America
248,love the s music blasting at gate in boston while waiting for flight to sanfrancisco only if i could get an iced coffee,Virgin America
249,the passenger in d flt that assaulted me shouldn t have flown i trust he s banned crew filed report to,Virgin America
250,current bug on website shows select departure city when selecting destination city,Virgin America
251,luggage was severely dented missing wheel coming off baggage claim in san luggage agent miranda i think wasn t any help,Virgin America
252,thank you for the easy itinerary shift for impending weather quick painless free,Virgin America
253,if you d love to see more girls be inspired to become pilots rt our free woaw event march at abq,Virgin America
254,thanks good times there and back vodkatonics the entire flight sfo,Virgin America
255,beats expectations shares take off santa cruz sentinel,Virgin America
256,any plans to start flying direct from dal to las,Virgin America
257,big love gratitude mpower w werin oscars vipswagbags avalonhollywood,Virgin America
258,you re doing a great job adding little luxuries aesthetics that improve the air travel experience thank you keep it up,Virgin America
259,requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver member,Virgin America
260,grand budapest hotel oscarscountdown,Virgin America
261,this is what you missed next trip to the,Virgin America
262,wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience,Virgin America
263,there is something wrong with you website in safari iphone,Virgin America
264,thanks for gate checking my baggage on your full flight dfw lax and giving me early boarding too sweet,Virgin America
265,already checked in so the page expired x,Virgin America
266,boo for a not refunding a seat upgrade fee i did not want to buy in the first place,Virgin America
267,shares rise on q financial results usa today,Virgin America
268,adds pillows instead of lie flat seats in first class arms race,Virgin America
269,i see what you did there,Virgin America
270,way to take advantage of mayweatherpacquiao,Virgin America
271,you know i m flying virgin for the fight mayweatherpacquiao,Virgin America
272,your inflight team makes the experience amazing,Virgin America
273,cutest salt and pepper shaker ever just when i think you guys can t get any better you just do,Virgin America
274,moved my seat with no notice better seat is cabin select not behind the row i selected disappointed,Virgin America
275,shares up on q results,Virgin America
276,fav airline,Virgin America
277,we have a hot female pilot sweet dca to sfo,Virgin America
278,when are you guys going to start flying to paris you re welcome,Virgin America
279,what is your policy on flying after surgery i am still waiting for answer so i can tell me doctor,Virgin America
280,already contacted central baggage sent dm is charging me for the dress that was in the lost suitcase help,Virgin America
281,thank you,Virgin America
282,is there anything going on with the website i ve been getting a lot of errors past minutes,Virgin America
283,i think i left something on the plane yesterday who do i call ah,Virgin America
284,i need you to follow back in order to dm,Virgin America
285,need to start flying to,Virgin America
286,they told to check with the airline regulation first so that is why i contacted you,Virgin America
287,i have just checked in flight to sfo from lax been told as atlantic flying club gold i get no benefits,Virgin America
288,husband and i ordered three drinks via my screen and they never came awesome,Virgin America
289,soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence,Virgin America
290,what is your policy on flying after surgery,Virgin America
291,posts second consecutive full year net profit,Virgin America
292,funny story your website is broken you have missing javascript and stylesheets on the checkin process i dislike this,Virgin America
293,would love to do more for virgin just like i do for,Virgin America
294,results handily exceed forecasts,Virgin America
295,i applied for a position in and i was wondering if you guys received my application,Virgin America
296,achieves a second year of profitability despite revenue pressure aviation,Virgin America
297,gives positive outlook but sees increased competition,Virgin America
298,i m trying to check into my am ct flight tmm on the desktop website and it s not working some sort of caching bug sos,Virgin America
299,weather delays next few weeks jfk bos dca,Virgin America
300,check the website before you go to the airport,Virgin America
301,do you guys know your check in links from emails are broken,Virgin America
302,pilot says we expect a choppy landing in nyc due to some gusty winds w a temperature of about degrees w the windchill,Virgin America
303,loved it can t wait for monday s return flight mostly just to watch the inflight safety video again sorrynotsorry,Virgin America
304,lost my luggage days ago on flight vx from lax to iad i m calling every day no response please give me back my stuff,Virgin America
305,the flight booking problems section of your website seems to be broken on chrome might wanna look into that,Virgin America
306,hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more,Virgin America
307,i mean probably inappropriate while on board but it s on,Virgin America
308,happy to spend the day together let s do this,Virgin America
309,is saving my sanity right now,Virgin America
310,missed my flight how does standby work,Virgin America
311,they were very understanding and helped me out thx comps,Virgin America
312,brought it all the way across the country today i see,Virgin America
313,thank you i absolutely will,Virgin America
314,looks like a broken link for your assets,Virgin America
315,are you ready let s say it together noooo turbulence today,Virgin America
316,the manage itinerary section of your website seems to be broken for me,Virgin America
317,can t check in your site looks like this every time it loads,Virgin America
318,can u help this fund needs urgent treatment in y old battling cancer could u help with flights freyasfund,Virgin America
319,may start service to hawaii from sanfrancisco this year biztravel,Virgin America
320,other carriers are less than half price for a round trip fare i am stunned,Virgin America
321,wtf is happening in pdx late flight march such that one way from sfo is,Virgin America
322,add dtw and i m sold,Virgin America
323,how about some free drinks on the flight back for the free promo,Virgin America
324,thanks,Virgin America
325,momma i made it,Virgin America
326,please contact me about portfolio left on flight vx from jfk to sfo tonite seat am need it returned call,Virgin America
327,help i was on flight from jkf tonight seat c left portfolio need it back,Virgin America
328,seattle bound wifey got me the duffle for vday she s a keeper holla,Virgin America
329,my luggage is gone i ve filed my paperwork promised a call email still no resolution or response from central luggage,Virgin America
330,debbie baldwin gave a rockstar performance of the safety demo this evening on vx las sfo bestcrew sherocks,Virgin America
331,thanks,Virgin America
332,thanks for taking care of on her flight rockstars travel,Virgin America
333,thanks for the lovely soft views travel san to sfo,Virgin America
334,i requested a mileage challenge for status several weeks ago online but haven t heard back how do i get help with this,Virgin America
335,just trying to book tickets to nyc and facing super fun broken styling don t worry i ll keep trying,Virgin America
336,many thanks for the follow ourprincess freyasfund usa bandie looking for any help,Virgin America
337,nice lofty view silverstatus,Virgin America
338,applied for status match on feb got confirmation email same day still no news though you guys have dropped ball late flightly,Virgin America
339,is my new go to airline,Virgin America
340,can you help ourprincess in need of some help in usa,Virgin America
341,i adore you and am so looking forward to my flight to austin in two weeks,Virgin America
342,i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience,Virgin America
343,flight booking problems flight to uphold my status match do taxes on ticket count as earned status points statusmatch virginamerica,Virgin America
344,trying to check in but looks like your site is down,Virgin America
345,spending my birthday night with you dal dca get me home,Virgin America
346,sent a couple messages to the email you provided but to no avail will try again next year cheers,Virgin America
347,first time flying virgin went to sanfrancisco thanks for the smooth ride easily my new fav airline,Virgin America
348,seriously though will there not be direct flights from sfo fll in may,Virgin America
349,it s fine already done with my purchase but you should try it just go most of the way through then go back,Virgin America
350,not really the experience i was hoping i ws forced check in a small carry on w nothing but empty cabin space on board,Virgin America
351,wjere is our luggage so slow at lax,Virgin America
352,to jump into the dallas austin market,Virgin America
353,i spoke with a representative that offered no solution i am a loyal customer who flies on as well,Virgin America
354,i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email,Virgin America
355,what happened to direct flights from sfo fll looking in may only see connecting help dontdothistome,Virgin America
356,can you help left my blazer in kooples jacket bag at rd row second seat from right gate t lax flight to sfo,Virgin America
357,partners with checkout as mobile payment method to help boost mobile conversion rates etailwest payments visa,Virgin America
358,just promoting the product is all had a problem with southwest and recommend noneother than the best,Virgin America
359,love you guys but pls get some direct routes las to aus,Virgin America
360,i would like help with some flights please,Virgin America
361,bruh turn down for what vxsafetydance,Virgin America
362,of course i work for and i m obsessed with the entire virgin family,Virgin America
363,ok first time flying with you tonight,Virgin America
364,digging the swanky pink mood lighting during the flight from nyc to sfo just needs a cabaret singer think about it,Virgin America
365,done but i need the receipt asap could you please help,Virgin America
366,i have d and d embossed badges and patches superior to the ones you are currently using,Virgin America
367,on vx from jfk to la dirty plane not up to your standards,Virgin America
368,on flight vx headed to la from jfk dirtiest va plane i have ever been on sad for a great airline,Virgin America
369,got it squared away someone picked up as soon as i tweeted should have tweeted sooner,Virgin America
370,your avis rental continue button doesn t work on your website to book car tried times on phone this sucks,Virgin America
371,delayed to,Virgin America
372,currently in minute of being on hold with cust service do i need to do anything to add a lap child to my reservation,Virgin America
373,adds pillows instead of lie flat seats in first class arms race by,Virgin America
374,of course have fun celebrating thanks happy chinese new year,Virgin America
375,flight booking problems last second flight for next week from sfo to san any chance you want to gift me a promo code since i love you guys,Virgin America
376,comenity bank is a joke please change nothing but constant problems with this bank,Virgin America
377,i just did how can i dm do u have to also add me,Virgin America
378,for my grandma ella s th she would a bday greeting from your flight crew she was a stewardess for eastern airlines,Virgin America
379,just bought tix for atx dallas route thanks for adding that love yr airline yr website is best transactional site ever,Virgin America
380,anytime sugafly,Virgin America
381,gave a credit for my late flight flight yesterday great service that s a wow moment unexpected gesture,Virgin America
382,i need a receipt for a flight change can you send one,Virgin America
383,i submitted a status match request a while back and still haven t heard i m flying on monday can you look accelerate,Virgin America
384,had me at their safety video loved my first cross country flight livewelltraveled sytycd,Virgin America
385,that doesn t look to fat to me it looks yummy,Virgin America
386,ceo says southwest jetblue have strayed from low cost model,Virgin America
387,a brilliant brisk am in boston in cue for vx,Virgin America
388,atlantic ploughs a lone furrow in the middleeast,Virgin America
389,atlantic ploughs a lone furrow in the middleeast,Virgin America
390,atlantic ploughs a lone furrow in the middleeast,Virgin America
391,omg omg nonstop dallas to austin on virgin,Virgin America
392,your planes are really pretty just thought u should know that,Virgin America
393,when are you flying to hawaii,Virgin America
394,i m pulling my hair out trying to book a flight with u your site doesn t work on iphone or ipad don t have a computer help,Virgin America
395,thank you,Virgin America
396,can i get some help with a support ticket it s been days incident thank you,Virgin America
397,good to be home texas moodlighting,Virgin America
398,i cannot even open my laptop in seat c and i paid a premium for this let me out of here,Virgin America
399,i am in seat c and i cannot even open my laptop and i paid extra for this seat,Virgin America
400,if only you guys were starting those flights at the end of the month guess i m still road tripping on feb,Virgin America
401,thanks for that been needing a way to make those austin trips from dca and now you ve come through,Virgin America
402,announced new route to austin w fares from way,Virgin America
403,really sprint i thought you guys were kewl,Virgin America
404,this is too cool never been on ur planes but now i will,Virgin America
405,you should have dollar lax las fares,Virgin America
406,great well deserved,Virgin America
407,fyi the info com email address you say to contact in password reset emails doesn t exist emails bounce,Virgin America
408,status match weeks have gone by and no news flt next week hope flt will count towards requirement cust svc no help,Virgin America
409,your website sucks donkey dicks just thought you should know all best,Virgin America
410,you should still develop an app then you will be my favorite airline,Virgin America
411,all crap channels which is why i pay to watch uk tv,Virgin America
412,got it all set thanks,Virgin America
413,no a s channel this year,Virgin America
414,only thing i see on passbook is virgin mobile mexico how do i integrate,Virgin America
415,giants and virgin america a match made in heaven,Virgin America
416,thank goodness also see you friday nwk sf boom,Virgin America
417,how come you don t have an iphone app still using and making me waste paper,Virgin America
418,your back of seat entertainment system does not accept credit cards that have an apostrophe in the surname apostrophefail,Virgin America
419,when will vx use all lga slots instead of today adding aus makes this less likely,Virgin America
420,is helping me step up my game tindertips tinderchamp,Virgin America
421,i luv ur people and product thing is y do u charge for herbal tea but not black tea i m not a caffeine drinker,Virgin America
422,thank you see y all soon i m excited to see the expansion of destinations spread those wings,Virgin America
423,announces new nonstop connecting intro,Virgin America
424,adds austin dallas love field route,Virgin America
425,sad to learn you no longer fly sfo phl hope it returns,Virgin America
426,can you tweet me the cancelled flight chng fee for a flight or can i rebook under one of your affiliates if so who are afiliates,Virgin America
427,has the most incredible customer service i ve ever experienced so refreshing,Virgin America
428,now when will we see virginamerica come to philadelphia phl,Virgin America
429,am i dreaming did you really just open up a route between dallas and austin and does this mean houston might be next,Virgin America
430,omg finally,Virgin America
431,to start xweekly a flights from to dallas austin on apr avgeek,Virgin America
432,nice to see you expanding in texas but don t forget about us here in sandiego i would love to see more flights out of here,Virgin America
433,kinda sucked my earphone jack didn t work on my flight they may want to look into that for future passengers,Virgin America
434,very poor experience first computer problem now seat malfunction stuck missing meeting in san diego,Virgin America
435,to battle on route via,Virgin America
436,thankyou the dal aus route makes my day,Virgin America
437,awesome deals dal aus for only each way,Virgin America
438,i miss the nerdbird in san jose,Virgin America
439,love it taking on in their backyard consumers win when biz competes,Virgin America
440,is flying from love to austin now that is most excellent news,Virgin America
441,can we make every vx plane with nerdbird why should austin be the only one getting nerd love,Virgin America
442,please add more frequency to pdx portland,Virgin America
443,congrats vx on the new route,Virgin America
444,i tried that you offered to charge me an additional k for a new ticket or be stranded until thurs st time last time,Virgin America
445,can u help with flights to get a y old battling cancer who needs treatment in fund,Virgin America
446,never had a bad experience before but this one took the cake now extortion for carry on items as well,Virgin America
